batch_number,batch_count,packet_loss,delay,client_rate,server_rate,init_cnwd_size,mtu_bytes
1,100,0,1,0.05,0.05,10,1500
2,100,0,1,0.1,0.1,10,1500
3,100,0,1,0.6,0.6,10,1500
4,100,0,1,1,1,10,1500
5,100,0,1,6,6,10,1500
6,100,0,1,15,15,10,1500
7,100,0,1,20,20,10,1500
8,100,0,1,25,25,10,1500
9,100,0,1,30,30,10,1500
10,100,0,1,35,35,10,1500
11,100,0,1,40,40,10,1500
12,100,0,1,45,45,10,1500
13,100,0,1,50,50,10,1500
14,100,0,1,75,75,10,1500
15,100,0,1,100,100,10,1500
16,100,0,1,125,125,10,1500
17,100,0,1,150,150,10,1500
18,100,0,1,175,175,10,1500
19,100,0,1,200,200,10,1500
