batch_number,batch_count,packet_loss,delay,client_rate,server_rate,init_cnwd_size,mtu_bytes
1,100,0,1,0.02,1000000,10,1500
2,100,0,1,0.04,1000000,10,1500
3,100,0,1,0.06,1000000,10,1500
4,100,0,1,0.08,1000000,10,1500
5,100,0,1,0.1,1000000,10,1500
6,200,0,1,0.2,1000000,10,1500
7,200,0,1,0.4,1000000,10,1500
8,200,0,1,0.6,1000000,10,1500
9,200,0,1,0.8,1000000,10,1500
10,100,0,1,1,1000000,10,1500
11,100,0,1,2,1000000,10,1500
12,100,0,1,3,1000000,10,1500
13,100,0,1,4,1000000,10,1500
14,100,0,1,5,1000000,10,1500
15,100,0,1,6,1000000,10,1500
16,100,0,1,7,1000000,10,1500
17,100,0,1,8,1000000,10,1500
18,100,0,1,9,1000000,10,1500
19,100,0,1,10,1000000,10,1500
20,100,0,1,15,1000000,10,1500
21,100,0,1,20,1000000,10,1500
22,100,0,1,25,1000000,10,1500
23,100,0,1,30,1000000,10,1500
24,100,0,1,35,1000000,10,1500
25,100,0,1,40,1000000,10,1500
26,100,0,1,45,1000000,10,1500
27,100,0,1,50,1000000,10,1500
28,100,0,1,75,1000000,10,1500
29,100,0,1,100,1000000,10,1500
30,100,0,1,125,1000000,10,1500
31,100,0,1,150,1000000,10,1500
32,100,0,1,175,1000000,10,1500
33,100,0,1,200,1000000,10,1500
