batch_number,batch_count,packet_loss,delay,client_rate,server_rate,init_cnwd_size,mtu_bytes
1,500,0,1,1000000,1000000,10,1500
2,500,1,1,1000000,1000000,10,1500
3,500,2,1,1000000,1000000,10,1500
4,500,3,1,1000000,1000000,10,1500
5,500,4,1,1000000,1000000,10,1500
6,500,5,1,1000000,1000000,10,1500
7,250,6,1,1000000,1000000,10,1500
8,250,7,1,1000000,1000000,10,1500
9,250,8,1,1000000,1000000,10,1500
10,250,9,1,1000000,1000000,10,1500
11,250,10,1,1000000,1000000,10,1500
12,200,11,1,1000000,1000000,10,1500
13,200,12,1,1000000,1000000,10,1500
14,200,13,1,1000000,1000000,10,1500
15,200,14,1,1000000,1000000,10,1500
16,200,15,1,1000000,1000000,10,1500
17,200,16,1,1000000,1000000,10,1500
18,200,17,1,1000000,1000000,10,1500
19,200,18,1,1000000,1000000,10,1500
20,200,19,1,1000000,1000000,10,1500
21,200,20,1,1000000,1000000,10,1500
